YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,Age,Sex,Race_Ethnicity,Data_Value_Unit,Data_Value,Low_Confidence_Limit,High_Confidence_Limit,Sample_Size
2022,2022,US,National,Medicare FFS MA,65 years and older,Both sexes,"White, non-Hispanic",%,10.79,10.78,10.8,3924000.0
2022,2022,US,National,Medicare FFS MA,65 years and older,Both sexes,"Hispanic, any race",%,6.53,6.5,6.55,284700.0
2022,2022,MO,Missouri,Medicare FFS MA,65 years and older,Both sexes,Asian,%,7.75,7.18,8.34,640.0
2022,2022,MO,Missouri,Medicare FFS MA,65 years and older,Both sexes,Other,%,8.48,7.54,9.49,270.0
2022,2022,US,National,Medicare FFS MA,65 years and older,Both sexes,All races,%,9.64,9.63,9.65,4569000.0
2022,2022,MO,Missouri,Medicare FFS MA,65 years and older,Both sexes,"Hispanic, any race",%,6.3,5.86,6.77,700.0
2022,2022,US,National,Medicare FFS MA,65 years and older,Both sexes,North American Native,%,8.38,8.24,8.52,12440.0
2022,2022,MO,Missouri,Medicare FFS MA,65 years and older,Both sexes,North American Native,%,8.98,7.33,10.87,100.0
2022,2022,MO,Missouri,Medicare FFS MA,65 years and older,Both sexes,"White, non-Hispanic",%,10.67,10.6,10.73,89840.0
2022,2022,MO,Missouri,Medicare FFS MA,65 years and older,Both sexes,All races,%,9.99,9.93,10.05,93690.0
2022,2022,MO,Missouri,Medicare FFS MA,65 years and older,Both sexes,"Black, non-Hispanic",%,2.97,2.84,3.09,2130.0
2022,2022,US,National,Medicare FFS MA,65 years and older,Both sexes,Asian,%,8.9,8.86,8.94,159800.0
2022,2022,US,National,Medicare FFS MA,65 years and older,Both sexes,"Black, non-Hispanic",%,3.54,3.52,3.56,152100.0
2022,2022,US,National,Medicare FFS MA,65 years and older,Both sexes,Other,%,8.54,8.46,8.63,35640.0
