YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,Age,Sex,Race_Ethnicity,Data_Value_Unit,Data_Value,Low_Confidence_Limit,High_Confidence_Limit,Sample_Size
2022,2022,US,National,Medicare FFS MA,65 years and older,Both sexes,Other,%,2.89,2.84,2.94,12050.0
2022,2022,US,National,Medicare FFS MA,65 years and older,Both sexes,North American Native,%,2.8,2.72,2.89,4160.0
2022,2022,MO,Missouri,Medicare FFS MA,65 years and older,Both sexes,"Black, non-Hispanic",%,2.54,2.43,2.66,1830.0
2022,2022,MO,Missouri,Medicare FFS MA,65 years and older,Both sexes,Asian,%,2.52,2.2,2.88,210.0
2022,2022,MO,Missouri,Medicare FFS MA,65 years and older,Both sexes,"Hispanic, any race",%,2.28,2.01,2.57,250.0
2022,2022,US,National,Medicare FFS MA,65 years and older,Both sexes,"Hispanic, any race",%,2.51,2.5,2.53,109500.0
2022,2022,US,National,Medicare FFS MA,65 years and older,Both sexes,Asian,%,2.66,2.64,2.68,47730.0
2022,2022,MO,Missouri,Medicare FFS MA,65 years and older,Both sexes,All races,%,3.68,3.65,3.72,34550.0
2022,2022,US,National,Medicare FFS MA,65 years and older,Both sexes,"White, non-Hispanic",%,3.29,3.29,3.3,1198000.0
2022,2022,US,National,Medicare FFS MA,65 years and older,Both sexes,"Black, non-Hispanic",%,2.67,2.66,2.69,114900.0
2022,2022,US,National,Medicare FFS MA,65 years and older,Both sexes,All races,%,3.14,3.13,3.14,1487000.0
2022,2022,MO,Missouri,Medicare FFS MA,65 years and older,Both sexes,North American Native,%,2.27,1.46,3.36,20.0
2022,2022,MO,Missouri,Medicare FFS MA,65 years and older,Both sexes,"White, non-Hispanic",%,3.82,3.78,3.86,32150.0
2022,2022,MO,Missouri,Medicare FFS MA,65 years and older,Both sexes,Other,%,2.81,2.27,3.44,90.0
