YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,Age,Sex,Race_Ethnicity,Data_Value_Unit,Data_Value,Low_Confidence_Limit,High_Confidence_Limit,Sample_Size
2022,2022,MO,Missouri,Medicare FFS MA,65 years and older,Both sexes,All races,%,10.7,10.63,10.76,100300.0
2022,2022,US,National,Medicare FFS MA,65 years and older,Both sexes,"White, non-Hispanic",%,11.3,11.29,11.31,4111000.0
2022,2022,US,National,Medicare FFS MA,65 years and older,Both sexes,Other,%,12.52,12.42,12.62,52220.0
2022,2022,MO,Missouri,Medicare FFS MA,65 years and older,Both sexes,North American Native,%,9.45,7.76,11.38,100.0
2022,2022,US,National,Medicare FFS MA,65 years and older,Both sexes,"Black, non-Hispanic",%,9.66,9.64,9.69,415200.0
2022,2022,US,National,Medicare FFS MA,65 years and older,Both sexes,All races,%,11.05,11.04,11.06,5238000.0
2022,2022,US,National,Medicare FFS MA,65 years and older,Both sexes,Asian,%,12.29,12.24,12.34,220600.0
2022,2022,MO,Missouri,Medicare FFS MA,65 years and older,Both sexes,Asian,%,10.32,9.67,10.99,860.0
2022,2022,MO,Missouri,Medicare FFS MA,65 years and older,Both sexes,Other,%,11.6,10.51,12.75,370.0
2022,2022,US,National,Medicare FFS MA,65 years and older,Both sexes,North American Native,%,10.49,10.34,10.65,15570.0
2022,2022,MO,Missouri,Medicare FFS MA,65 years and older,Both sexes,"Black, non-Hispanic",%,7.58,7.39,7.78,5450.0
2022,2022,MO,Missouri,Medicare FFS MA,65 years and older,Both sexes,"Hispanic, any race",%,8.14,7.64,8.66,910.0
2022,2022,US,National,Medicare FFS MA,65 years and older,Both sexes,"Hispanic, any race",%,9.71,9.68,9.74,423500.0
2022,2022,MO,Missouri,Medicare FFS MA,65 years and older,Both sexes,"White, non-Hispanic",%,11.0,10.93,11.07,92640.0
